,myear,fuel,km,owner,transmission,brand,model,variant,price,city
0,2016,Petrol,"81,674 Kms",1st Owner,Manual,2016 Maruti Wagon R,2016 Maruti Wagon R,VXI,"3,60,000",Ahmedabad
1,2012,Petrol,"89,579 Kms",1st Owner,Manual,2012 Maruti Alto K10,2012 Maruti Alto K10,LXI,"1,77,500",Ahmedabad
2,2011,Petrol,"38,647 Kms",1st Owner,Manual,2011 Honda City,2011 Honda City,1.5 V MT,"3,99,500",Ahmedabad
3,2019,Petrol,"9,718 Kms",1st Owner,Manual,2019 Maruti Swift Dzire,2019 Maruti Swift Dzire,VXI 1.2,"6,65,000",Ahmedabad
4,2019,Petrol,"24,230 Kms",1st Owner,Manual,2019 Maruti S-Presso,2019 Maruti S-Presso,VXI,"4,22,000",Ahmedabad
5,2016,Diesel,"74,431 Kms",2nd Owner,Manual,2016 Nissan Terrano,2016 Nissan Terrano,XL Plus 85 PS,"4,70,500",Ahmedabad
6,2013,Diesel,"94,754 Kms",2nd Owner,Manual,2013 Toyota Innova,2013 Toyota Innova,2.5 VX (Diesel) 8 Seater,"6,70,500",Ahmedabad
7,2018,Diesel,"97,922 Kms",1st Owner,Manual,2019 Volkswagen Vento,2019 Volkswagen Vento,1.5 TDI Highline,"7,11,000",Ahmedabad
8,2017,Petrol,"88,362 Kms",1st Owner,Manual,2017 Maruti Eeco,2017 Maruti Eeco,5 Seater AC,"3,97,000",Ahmedabad
9,2020,Petrol,"19,627 Kms",1st Owner,Manual,2020 Maruti Eeco,2020 Maruti Eeco,5 Seater AC,"4,69,500",Ahmedabad
10,2012,Petrol,"57,341 Kms",1st Owner,Manual,2012 Maruti Eeco,2012 Maruti Eeco,5 Seater AC,"2,79,000",Ahmedabad
11,2020,Petrol,"17,116 Kms",1st Owner,Manual,2020 Maruti Eeco,2020 Maruti Eeco,5 Seater AC,"4,72,000",Ahmedabad
12,2019,Petrol,"14,161 Kms",1st Owner,Manual,2019 Maruti Eeco,2019 Maruti Eeco,5 Seater AC BSIV,"4,57,000",Ahmedabad
13,2014,Petrol,"131,125 Kms",1st Owner,Manual,2014 Maruti Wagon R,2014 Maruti Wagon R,VXI,"2,94,500",Ahmedabad
14,2017,Diesel,"67,000 kms",First Owner,Manual,Honda Jazz 1.5 V i DTEC,Honda Jazz 1.5 V i DTEC,NaN,5.49 Lakh*,Ahmedabad
15,2011,Petrol,"59,702 kms",Second Owner,Manual,Chevrolet Spark 1.0 LS,Chevrolet Spark 1.0 LS,NaN,"55,000*",Ahmedabad
16,2015,Diesel,"70,000 kms",First Owner,Manual,Hyundai Xcent 1.1 CRDi S Option,Hyundai Xcent 1.1 CRDi S Option,NaN,4.74 Lakh*,Ahmedabad
17,2015,Diesel,"60,603 kms",First Owner,Manual,Hyundai i20 Active 1.4 SX,Hyundai i20 Active 1.4 SX,NaN,4.9 Lakh*,Ahmedabad
18,2015,Diesel,"70,000 kms",First Owner,Manual,Maruti Swift VDI,Maruti Swift VDI,NaN,4.49 Lakh*,Ahmedabad
19,2012,Diesel,"1,45,814 kms",First Owner,Manual,Hyundai i20 1.4 CRDi Sportz,Hyundai i20 1.4 CRDi Sportz,NaN,2.36 Lakh*,Ahmedabad
20,2017,Petrol,"41,174 Kms",1st Owner,Automatic,2017 Maruti Wagon R,2017 Maruti Wagon R,AMT VXI,"4,30,000",Ahmedabad
21,2016,Petrol,"45,347 Kms",1st Owner,Manual,2016 Maruti Eeco,2016 Maruti Eeco,5 Seater AC BSIV,"3,80,500",Ahmedabad
22,2017,Petrol,"43,031 Kms",1st Owner,Manual,2017 Maruti Wagon R,2017 Maruti Wagon R,VXI Plus,"3,87,000",Ahmedabad
23,2018,Diesel,"31,694 Kms",1st Owner,Manual,2018 Maruti Swift,2018 Maruti Swift,VDI,"5,85,000",Ahmedabad
24,2014,Petrol,"42,381 Kms",1st Owner,Manual,2014 Maruti Wagon R,2014 Maruti Wagon R,VXI,"3,28,500",Ahmedabad
25,2013,Diesel,"72,301 Kms",1st Owner,Manual,2013 Maruti Swift,2013 Maruti Swift,ZDi,"3,99,000",Ahmedabad
26,2011,Petrol,"60,689 Kms",1st Owner,Manual,2011 Maruti Wagon R,2011 Maruti Wagon R,LXI BS IV,"2,67,500",Ahmedabad
27,2013,Petrol,"85,416 Kms",2nd Owner,Manual,2014 Maruti Wagon R,2014 Maruti Wagon R,LXI BS IV,"2,79,500",Ahmedabad
28,2019,Petrol,"11,935 Kms",1st Owner,Manual,2020 Maruti Swift Dzire,2020 Maruti Swift Dzire,VXI 1.2,"6,95,000",Ahmedabad
29,2015,Diesel,"54,419 Kms",1st Owner,Manual,2015 Maruti Swift Dzire,2015 Maruti Swift Dzire,VDI,"4,91,500",Ahmedabad
30,2016,Petrol,"45,090 Kms",2nd Owner,Manual,2016 Maruti Swift,2016 Maruti Swift,VXI Optional,"4,64,000",Ahmedabad
31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Ahmedabad
32,2012,Diesel,"80,084 Kms",1st Owner,Manual,2013 Maruti Swift Dzire,2013 Maruti Swift Dzire,VDI,"3,40,500",Ahmedabad
33,2016,Petrol,"51,069 Kms",1st Owner,Manual,2016 Maruti Baleno,2016 Maruti Baleno,1.2 Delta,"4,82,500",Ahmedabad
34,2017,Petrol,"49,072 Kms",1st Owner,Manual,2017 Maruti Baleno,2017 Maruti Baleno,Alpha,"6,10,000",Ahmedabad
35,2020,Petrol,"10,371 Kms",1st Owner,Manual,2020 Maruti Wagon R,2020 Maruti Wagon R,LXI,"5,06,500",Ahmedabad
36,2016,Diesel,"42,029 Kms",1st Owner,Manual,2016 Ford Ecosport,2016 Ford Ecosport,1.5 TDCi Trend BSIV,"5,89,500",Ahmedabad
37,2019,Petrol,"9,303 Kms",1st Owner,Manual,2020 Maruti Swift Dzire,2020 Maruti Swift Dzire,VXI 1.2,"6,83,500",Ahmedabad
38,2017,Petrol,"34,669 Kms",1st Owner,Manual,2017 Maruti Baleno,2017 Maruti Baleno,Delta,"5,35,500",Ahmedabad
39,2014,Diesel,"65,484 Kms",2nd Owner,Manual,2014 Hyundai Verna,2014 Hyundai Verna,1.6 SX CRDi (O),"5,43,000",Ahmedabad
40,2015,Petrol,"73,875 Kms",1st Owner,Manual,2015 Hyundai Grand i10,2015 Hyundai Grand i10,Asta,"4,80,500",Ahmedabad
41,2017,Petrol,"59,642 Kms",1st Owner,Manual,2018 Honda Amaze,2018 Honda Amaze,S Option i-VTEC,"5,01,500",Ahmedabad
42,2018,Petrol,"89,144 Kms",1st Owner,Manual,2018 Honda City,2018 Honda City,i-VTEC V,"7,63,500",Ahmedabad
43,2016,Petrol,"63,000 kms",First Owner,Automatic,Hyundai Grand i10 Asta Option AT,Hyundai Grand i10 Asta Option AT,NaN,5.5 Lakh*,Ahmedabad
44,2015,Diesel,"55,000 kms",First Owner,Manual,Nissan Evalia XL,Nissan Evalia XL,NaN,4.9 Lakh*,Ahmedabad
45,2014,Diesel,"74,000 kms",First Owner,Automatic,Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi A4 2.0 TDI 177 Bhp Premium Plus,NaN,15.51 Lakh*,Ahmedabad
46,2019,Petrol,"4,90,00 kms",First Owner,Manual,Hyundai Grand i10 Sportz,Hyundai Grand i10 Sportz,NaN,5.75 Lakh*,Ahmedabad
47,2017,Diesel,"20,634 kms",First Owner,Manual,Maruti Swift Dzire VDi,Maruti Swift Dzire VDi,NaN,6.49 Lakh*,Ahmedabad
48,2019,Petrol,"38,500 kms",First Owner,Manual,Volkswagen Polo 2015-2019 1.0 MPI Highline Plus,Volkswagen Polo 2015-2019 1.0 MPI Highline Plus,NaN,6.9 Lakh*,Ahmedabad
49,2016,Diesel,"19,001 kms",First Owner,Manual,Hyundai Xcent 1.2 CRDi SX,Hyundai Xcent 1.2 CRDi SX,NaN,5.75 Lakh*,Ahmedabad
50,2013,Diesel,"67,000 kms",First Owner,Manual,Ford Figo Diesel ZXI,Ford Figo Diesel ZXI,NaN,2.2 Lakh*,Ahmedabad
51,2019,Petrol,"28,707 kms",First Owner,Automatic,Honda City V CVT,Honda City V CVT,NaN,10.5 Lakh*,Ahmedabad
52,2018,Diesel,"41,000 kms",First Owner,Manual,Hyundai Grand i10 1.2 CRDi Magna,Hyundai Grand i10 1.2 CRDi Magna,NaN,5.15 Lakh*,Ahmedabad
53,2013,Petrol,"34,001 kms",First Owner,Manual,Honda Brio S MT,Honda Brio S MT,NaN,3.65 Lakh*,Ahmedabad
54,2010,Petrol,"28,000 kms",First Owner,Manual,Maruti Alto LXi,Maruti Alto LXi,NaN,2.05 Lakh*,Ahmedabad
55,2016,Diesel,"51,000 kms",First Owner,Manual,Ford EcoSport 1.5 TDCi Titanium BSIV,Ford EcoSport 1.5 TDCi Titanium BSIV,NaN,7.5 Lakh*,Ahmedabad
56,2011,Petrol,"55,417 kms",First Owner,Manual,Volkswagen Vento Petrol Highline,Volkswagen Vento Petrol Highline,NaN,3.75 Lakh*,Ahmedabad
57,2016,Diesel,"66,000 kms",First Owner,Manual,Maruti Swift Dzire LDI Optional,Maruti Swift Dzire LDI Optional,NaN,4.85 Lakh*,Ahmedabad
58,2017,Diesel,"43,000 kms",First Owner,Automatic,Maruti Swift Dzire AMT ZDI Plus,Maruti Swift Dzire AMT ZDI Plus,NaN,6.75 Lakh*,Ahmedabad
59,2013,Diesel,"74,000 kms",First Owner,Manual,Maruti Swift VDI,Maruti Swift VDI,NaN,4.15 Lakh*,Ahmedabad
60,2018,Diesel,"49,000 kms",First Owner,Manual,Toyota Fortuner 2016-2021 2.8 2WD MT,Toyota Fortuner 2016-2021 2.8 2WD MT,NaN,27 Lakh*,Ahmedabad
61,2016,Diesel,"48,000 kms",Second Owner,Automatic,Mercedes-Benz E-Class E250 CDI Avantgarde,Mercedes-Benz E-Class E250 CDI Avantgarde,NaN,26.51 Lakh*,Ahmedabad
62,2017,Diesel,"52,000 kms",First Owner,Manual,Hyundai i20 2015-2017 Magna 1.4 CRDi,Hyundai i20 2015-2017 Magna 1.4 CRDi,NaN,5.75 Lakh*,Ahmedabad
63,2014,Diesel,"38,000 kms",First Owner,Manual,Hyundai i20 Sportz 1.4 CRDi,Hyundai i20 Sportz 1.4 CRDi,NaN,4.9 Lakh*,Ahmedabad
64,2018,Diesel,"46,000 kms",First Owner,Automatic,Ford Endeavour 2.2 Titanium AT 4X2 Sunroof,Ford Endeavour 2.2 Titanium AT 4X2 Sunroof,NaN,25 Lakh*,Ahmedabad
65,2018,Diesel,"55,900 kms",First Owner,Manual,Maruti Vitara Brezza VDi Option,Maruti Vitara Brezza VDi Option,NaN,8.15 Lakh*,Ahmedabad
66,2010,Petrol,"65,329 kms",First Owner,Manual,Volkswagen Passat 1.8 TSI MT,Volkswagen Passat 1.8 TSI MT,NaN,5.25 Lakh*,Ahmedabad
67,2008,Petrol,"85,341 kms",Second Owner,Manual,Honda New Accord 2008-2011 2.4 MT,Honda New Accord 2008-2011 2.4 MT,NaN,3 Lakh*,Ahmedabad
68,2014,Diesel,"73,000 kms",Second Owner,Manual,Nissan Sunny Diesel XL,Nissan Sunny Diesel XL,NaN,3.45 Lakh*,Ahmedabad
69,2012,Diesel,"68,000 kms",First Owner,Manual,Maruti Swift ZDi,Maruti Swift ZDi,NaN,3.9 Lakh*,Ahmedabad
70,2019,Diesel,"30,000 kms",First Owner,Manual,Ford Endeavour Titanium 4X2,Ford Endeavour Titanium 4X2,NaN,29.5 Lakh*,Ahmedabad
71,2014,Diesel,"89,000 kms",First Owner,Manual,Renault Duster 110PS Diesel RxL,Renault Duster 110PS Diesel RxL,NaN,5.25 Lakh*,Ahmedabad
72,2018,Petrol,"23,000 kms",First Owner,Automatic,Maruti Wagon R VXI AMT,Maruti Wagon R VXI AMT,NaN,5.15 Lakh*,Ahmedabad
73,2018,Diesel,"57,000 kms",First Owner,Manual,Hyundai Creta 1.4 E Plus,Hyundai Creta 1.4 E Plus,NaN,9.75 Lakh*,Ahmedabad
74,2015,Diesel,"82,486 kms",First Owner,Manual,Maruti Swift VDI,Maruti Swift VDI,NaN,4.9 Lakh*,Ahmedabad
75,2018,Petrol,"28,000 kms",First Owner,Manual,Maruti Baleno Alpha,Maruti Baleno Alpha,NaN,7 Lakh*,Ahmedabad
76,2019,Diesel,"35,000 kms",First Owner,Automatic,Kia Seltos HTX Plus AT D,Kia Seltos HTX Plus AT D,NaN,15.75 Lakh*,Ahmedabad
77,2018,Diesel,"14,667 kms",First Owner,Automatic,Audi A4 35 TDI Premium Plus,Audi A4 35 TDI Premium Plus,NaN,32 Lakh*,Ahmedabad
78,2016,Diesel,"73,000 kms",First Owner,Manual,Hyundai Creta 1.6 CRDi SX Option,Hyundai Creta 1.6 CRDi SX Option,NaN,9.75 Lakh*,Ahmedabad
79,2018,Petrol,"11,000 kms",First Owner,Automatic,Datsun RediGO AMT 1.0 T Option,Datsun RediGO AMT 1.0 T Option,NaN,4.25 Lakh*,Ahmedabad
80,2016,Diesel,"74,000 kms",First Owner,Manual,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,NaN,7.25 Lakh*,Ahmedabad
81,2015,Diesel,"27,000 kms",Second Owner,Manual,Ford Endeavour 2.5L 4X2 MT,Ford Endeavour 2.5L 4X2 MT,NaN,8.5 Lakh*,Ahmedabad
82,2018,Diesel,"50,000 kms",First Owner,Manual,Ford EcoSport 1.5 Diesel Titanium BSIV,Ford EcoSport 1.5 Diesel Titanium BSIV,NaN,8.25 Lakh*,Ahmedabad
83,2016,Petrol,"64,000 kms",First Owner,Automatic,Honda City i VTEC CVT VX,Honda City i VTEC CVT VX,NaN,8.4 Lakh*,Ahmedabad
84,2013,Diesel,"72,000 kms",First Owner,Manual,Toyota Innova 2.5 G (Diesel) 8 Seater,Toyota Innova 2.5 G (Diesel) 8 Seater,NaN,5.25 Lakh*,Ahmedabad
85,2015,Diesel,"64,000 kms",First Owner,Manual,Hyundai Verna 1.6 SX CRDi (O),Hyundai Verna 1.6 SX CRDi (O),NaN,6.49 Lakh*,Ahmedabad
86,2012,Diesel,"68,000 kms",First Owner,Automatic,BMW 3 Series 320d,BMW 3 Series 320d,NaN,15.5 Lakh*,Ahmedabad
87,2020,Diesel,"11,000 kms",First Owner,Automatic,Tata Harrier XZA Plus AT,Tata Harrier XZA Plus AT,NaN,19.9 Lakh*,Ahmedabad
88,2013,Diesel,"38,000 kms",First Owner,Manual,Toyota Etios Liva GD,Toyota Etios Liva GD,NaN,4.25 Lakh*,Ahmedabad
89,2019,Diesel,"30,486 kms",First Owner,Automatic,Mercedes-Benz E-Class Exclusive E 220 d BSIV,Mercedes-Benz E-Class Exclusive E 220 d BSIV,NaN,48 Lakh*,Ahmedabad
90,2014,Diesel,"76,900 kms",First Owner,Manual,Hyundai Grand i10 CRDi Asta Option,Hyundai Grand i10 CRDi Asta Option,NaN,4.5 Lakh*,Ahmedabad
91,2017,Petrol,"87,000 kms",First Owner,Manual,Maruti Eeco 5 Seater AC BSIV,Maruti Eeco 5 Seater AC BSIV,NaN,4.15 Lakh*,Ahmedabad
92,2009,Petrol,"65,000 kms",First Owner,Manual,Hyundai i10 Sportz 1.2,Hyundai i10 Sportz 1.2,NaN,2.25 Lakh*,Ahmedabad
93,2017,Diesel,"47,638 kms",First Owner,Manual,Honda City i DTec V,Honda City i DTec V,NaN,8.5 Lakh*,Ahmedabad
94,2015,Diesel,"95,106 kms",First Owner,Automatic,Hyundai Creta 1.6 CRDi AT SX Plus,Hyundai Creta 1.6 CRDi AT SX Plus,NaN,9 Lakh*,Ahmedabad
95,2017,Diesel,"54,000 kms",First Owner,Manual,Honda BRV i-DTEC S MT,Honda BRV i-DTEC S MT,NaN,7.9 Lakh*,Ahmedabad
96,2014,Diesel,"71,003 kms",First Owner,Automatic,Audi Q3 35 TDI Quattro Premium,Audi Q3 35 TDI Quattro Premium,NaN,16.5 Lakh*,Ahmedabad
97,2015,Diesel,"58,000 kms",First Owner,Manual,Honda Amaze SX i-DTEC,Honda Amaze SX i-DTEC,NaN,3.6 Lakh*,Ahmedabad
98,2016,Diesel,"68,000 kms",First Owner,Manual,Maruti SX4 S Cross DDiS 200 Delta,Maruti SX4 S Cross DDiS 200 Delta,NaN,5.95 Lakh*,Ahmedabad
99,2013,Diesel,"69,000 kms",Second Owner,Manual,Honda Amaze S i-Dtech,Honda Amaze S i-Dtech,NaN,3.39 Lakh*,Ahmedabad
100,2012,Diesel,"68,000 kms",First Owner,Automatic,BMW 3 Series 320d,BMW 3 Series 320d,NaN,15.5 Lakh*,Ahmedabad
101,2020,Diesel,"11,000 kms",First Owner,Automatic,Tata Harrier XZA Plus AT,Tata Harrier XZA Plus AT,NaN,19.9 Lakh*,Ahmedabad
102,2013,Diesel,"38,000 kms",First Owner,Manual,Toyota Etios Liva GD,Toyota Etios Liva GD,NaN,4.25 Lakh*,Ahmedabad
103,2019,Diesel,"30,486 kms",First Owner,Automatic,Mercedes-Benz E-Class Exclusive E 220 d BSIV,Mercedes-Benz E-Class Exclusive E 220 d BSIV,NaN,48 Lakh*,Ahmedabad
104,2014,Diesel,"76,900 kms",First Owner,Manual,Hyundai Grand i10 CRDi Asta Option,Hyundai Grand i10 CRDi Asta Option,NaN,4.5 Lakh*,Ahmedabad
105,2017,Petrol,"87,000 kms",First Owner,Manual,Maruti Eeco 5 Seater AC BSIV,Maruti Eeco 5 Seater AC BSIV,NaN,4.15 Lakh*,Ahmedabad
106,2009,Petrol,"65,000 kms",First Owner,Manual,Hyundai i10 Sportz 1.2,Hyundai i10 Sportz 1.2,NaN,2.25 Lakh*,Ahmedabad
107,2017,Diesel,"47,638 kms",First Owner,Manual,Honda City i DTec V,Honda City i DTec V,NaN,8.5 Lakh*,Ahmedabad
108,2015,Diesel,"95,106 kms",First Owner,Automatic,Hyundai Creta 1.6 CRDi AT SX Plus,Hyundai Creta 1.6 CRDi AT SX Plus,NaN,9 Lakh*,Ahmedabad
109,2017,Diesel,"54,000 kms",First Owner,Manual,Honda BRV i-DTEC S MT,Honda BRV i-DTEC S MT,NaN,7.9 Lakh*,Ahmedabad
110,2014,Diesel,"71,003 kms",First Owner,Automatic,Audi Q3 35 TDI Quattro Premium,Audi Q3 35 TDI Quattro Premium,NaN,16.5 Lakh*,Ahmedabad
111,2015,Diesel,"58,000 kms",First Owner,Manual,Honda Amaze SX i-DTEC,Honda Amaze SX i-DTEC,NaN,3.6 Lakh*,Ahmedabad
112,2016,Diesel,"68,000 kms",First Owner,Manual,Maruti SX4 S Cross DDiS 200 Delta,Maruti SX4 S Cross DDiS 200 Delta,NaN,5.95 Lakh*,Ahmedabad
113,2013,Diesel,"69,000 kms",Second Owner,Manual,Honda Amaze S i-Dtech,Honda Amaze S i-Dtech,NaN,3.39 Lakh*,Ahmedabad
114,2016,Diesel,"68,000 kms",Second Owner,Manual,Mahindra Bolero 2011-2019 SLE,Mahindra Bolero 2011-2019 SLE,NaN,5.51 Lakh*,Ahmedabad
115,2014,Diesel,"59,000 kms",Second Owner,Manual,Mahindra Scorpio S2 9 Seater,Mahindra Scorpio S2 9 Seater,NaN,6.49 Lakh*,Ahmedabad
116,2019,Petrol,"13,300 kms",First Owner,Automatic,Honda City i-VTEC CVT V,Honda City i-VTEC CVT V,NaN,12 Lakh*,Ahmedabad
117,2018,Petrol,"21,000 kms",First Owner,Automatic,Skoda Octavia 1.8 TSI AT L K,Skoda Octavia 1.8 TSI AT L K,NaN,19.75 Lakh*,Ahmedabad
118,2019,Petrol,"11,542 kms",First Owner,Automatic,Honda Jazz VX CVT,Honda Jazz VX CVT,NaN,8.25 Lakh*,Ahmedabad
119,2009,Petrol,"58,000 kms",Second Owner,Manual,Maruti Wagon R LXI Minor,Maruti Wagon R LXI Minor,NaN,1.8 Lakh*,Ahmedabad
120,2016,Diesel,"68,000 kms",Second Owner,Manual,Mahindra Bolero 2011-2019 SLE,Mahindra Bolero 2011-2019 SLE,NaN,5.51 Lakh*,Ahmedabad
121,2014,Diesel,"59,000 kms",Second Owner,Manual,Mahindra Scorpio S2 9 Seater,Mahindra Scorpio S2 9 Seater,NaN,6.49 Lakh*,Ahmedabad
122,2019,Petrol,"13,300 kms",First Owner,Automatic,Honda City i-VTEC CVT V,Honda City i-VTEC CVT V,NaN,12 Lakh*,Ahmedabad
123,2018,Petrol,"21,000 kms",First Owner,Automatic,Skoda Octavia 1.8 TSI AT L K,Skoda Octavia 1.8 TSI AT L K,NaN,19.75 Lakh*,Ahmedabad
124,2019,Petrol,"11,542 kms",First Owner,Automatic,Honda Jazz VX CVT,Honda Jazz VX CVT,NaN,8.25 Lakh*,Ahmedabad
125,2009,Petrol,"58,000 kms",Second Owner,Manual,Maruti Wagon R LXI Minor,Maruti Wagon R LXI Minor,NaN,1.8 Lakh*,Ahmedabad
126,2017,Diesel,"68,000 kms",First Owner,Automatic,BMW 3 Series 320d Luxury Line,BMW 3 Series 320d Luxury Line,NaN,25.9 Lakh*,Ahmedabad
127,2019,Diesel,"13,500 kms",Second Owner,Automatic,Audi A3 35 TDI Premium Plus,Audi A3 35 TDI Premium Plus,NaN,24.5 Lakh*,Ahmedabad
128,2020,Diesel,"6,700 kms",First Owner,Manual,Hyundai Creta SX Opt Diesel,Hyundai Creta SX Opt Diesel,NaN,16.9 Lakh*,Ahmedabad
129,2010,Petrol,"21,000 kms",First Owner,Manual,Maruti Wagon R LXI,Maruti Wagon R LXI,NaN,2.79 Lakh*,Ahmedabad
130,2013,Diesel,"64,000 kms",First Owner,Manual,Honda Amaze EX i-Dtech,Honda Amaze EX i-Dtech,NaN,3.89 Lakh*,Ahmedabad
131,2012,Diesel,"55,000 kms",First Owner,Manual,Volkswagen Vento Diesel Comfortline,Volkswagen Vento Diesel Comfortline,NaN,3.3 Lakh*,Ahmedabad
132,2014,Petrol,"75,000 kms",Second Owner,Manual,Hyundai EON Sportz,Hyundai EON Sportz,NaN,2.75 Lakh*,Ahmedabad
133,2009,Petrol,"61,000 kms",First Owner,Manual,Hyundai Getz 1.1 GVS,Hyundai Getz 1.1 GVS,NaN,1.75 Lakh*,Ahmedabad
134,2018,Petrol,"73,000 kms",First Owner,Manual,Maruti Swift Dzire VXI 1.2,Maruti Swift Dzire VXI 1.2,NaN,6.9 Lakh*,Ahmedabad
135,2010,Diesel,"65,000 kms",First Owner,Manual,Maruti Swift Dzire ZDi,Maruti Swift Dzire ZDi,NaN,3.39 Lakh*,Ahmedabad
136,2017,Diesel,"22,700 kms",First Owner,Automatic,Toyota Innova Crysta 2016-2020 2.8 GX AT BSIV,Toyota Innova Crysta 2016-2020 2.8 GX AT BSIV,NaN,17.9 Lakh*,Ahmedabad
137,2016,Diesel,"42,000 kms",First Owner,Manual,Maruti Ertiga SHVS VDI,Maruti Ertiga SHVS VDI,NaN,7.25 Lakh*,Ahmedabad
138,2019,Diesel,"34,000 kms",First Owner,Automatic,Kia Seltos HTX Plus AT D,Kia Seltos HTX Plus AT D,NaN,13.5 Lakh*,Ahmedabad
139,2016,Petrol,"55,000 kms",First Owner,Automatic,Honda City i VTEC CVT VX,Honda City i VTEC CVT VX,NaN,8.78 Lakh*,Ahmedabad
140,2016,Petrol,"55,000 kms",First Owner,Automatic,Honda City i VTEC CVT VX,Honda City i VTEC CVT VX,NaN,8.78 Lakh*,Ahmedabad
141,2018,Petrol,"28,000 kms",First Owner,Automatic,Honda Jazz VX CVT,Honda Jazz VX CVT,NaN,8.25 Lakh*,Ahmedabad
142,2008,Petrol,"68,000 kms",Second Owner,Manual,Maruti Wagon R LXI,Maruti Wagon R LXI,NaN,1.9 Lakh*,Ahmedabad
143,2017,Petrol,"50,000 kms",First Owner,Manual,Hyundai Creta 1.6 SX Option,Hyundai Creta 1.6 SX Option,NaN,10.51 Lakh*,Ahmedabad
144,2017,Diesel,"71,000 kms",First Owner,Manual,Maruti Ciaz Alpha Diesel,Maruti Ciaz Alpha Diesel,NaN,7.25 Lakh*,Ahmedabad
145,2017,Petrol,"69,000 kms",First Owner,Automatic,Honda Amaze 2016-2021 VX CVT Petrol BSIV,Honda Amaze 2016-2021 VX CVT Petrol BSIV,NaN,6.51 Lakh*,Ahmedabad
146,2009,Diesel,"68,000 kms",Second Owner,Manual,Maruti Swift Ldi BSIV,Maruti Swift Ldi BSIV,NaN,2.39 Lakh*,Ahmedabad
147,2014,Diesel,"58,000 kms",First Owner,Automatic,Mercedes-Benz S-Class S 350 CDI,Mercedes-Benz S-Class S 350 CDI,NaN,34 Lakh*,Ahmedabad
148,2012,Diesel,"95,000 kms",Second Owner,Manual,Toyota Etios VD,Toyota Etios VD,NaN,3.9 Lakh*,Ahmedabad
149,2017,Diesel,"72,000 kms",First Owner,Manual,Ford EcoSport 1.5 Diesel Ambiente BSIV,Ford EcoSport 1.5 Diesel Ambiente BSIV,NaN,6.75 Lakh*,Ahmedabad
150,2017,Diesel,"39,700 kms",First Owner,Manual,Hyundai Grand i10 1.2 CRDi Asta,Hyundai Grand i10 1.2 CRDi Asta,NaN,5.75 Lakh*,Ahmedabad
151,2010,Petrol,"85,000 kms",First Owner,Automatic,Mercedes-Benz C-Class C 200 CGI Elegance,Mercedes-Benz C-Class C 200 CGI Elegance,NaN,8.5 Lakh*,Ahmedabad
152,2013,Diesel,"75,000 kms",First Owner,Automatic,Jaguar XF 3.0 Litre S Premium Luxury,Jaguar XF 3.0 Litre S Premium Luxury,NaN,18.11 Lakh*,Ahmedabad
153,2018,Diesel,"37,383 kms",First Owner,Automatic,Maruti Swift AMT VDI,Maruti Swift AMT VDI,NaN,5.9 Lakh*,Ahmedabad
154,2010,Diesel,"72,000 kms",Second Owner,Manual,Ford Fiesta Classic 1.4 SXI Duratorq,Ford Fiesta Classic 1.4 SXI Duratorq,NaN,1.8 Lakh*,Ahmedabad
155,2016,Diesel,"55,663 kms",First Owner,Manual,Mahindra KUV 100 mFALCON D75 K6,Mahindra KUV 100 mFALCON D75 K6,NaN,2.79 Lakh*,Ahmedabad
156,2011,Diesel,"69,000 kms",First Owner,Manual,Volkswagen Jetta 2.0 TDI Trendline,Volkswagen Jetta 2.0 TDI Trendline,NaN,2.94 Lakh*,Ahmedabad
157,2011,Petrol,"47,000 kms",First Owner,Manual,Volkswagen Polo Petrol Trendline 1.2L,Volkswagen Polo Petrol Trendline 1.2L,NaN,3.15 Lakh*,Ahmedabad
158,2017,Petrol,"26,000 kms",First Owner,Manual,Honda Jazz 1.2 SV i VTEC,Honda Jazz 1.2 SV i VTEC,NaN,5.5 Lakh*,Ahmedabad
159,2017,Petrol,"59,000 kms",First Owner,Manual,Tata Tiago Wizz 1.2 Revotron,Tata Tiago Wizz 1.2 Revotron,NaN,4.4 Lakh*,Ahmedabad
160,2011,Diesel,"83,000 kms",First Owner,Manual,Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota Innova 2.5 G (Diesel) 7 Seater,NaN,5.69 Lakh*,Ahmedabad
161,2013,Diesel,"93,000 kms",First Owner,Automatic,BMW 3 Series 320d Luxury Line,BMW 3 Series 320d Luxury Line,NaN,14.93 Lakh*,Ahmedabad
162,2017,Petrol,"59,000 kms",First Owner,Manual,Tata Tiago Wizz 1.2 Revotron,Tata Tiago Wizz 1.2 Revotron,NaN,4.4 Lakh*,Ahmedabad
163,2010,Diesel,"72,000 kms",Second Owner,Manual,Ford Fiesta Classic 1.4 SXI Duratorq,Ford Fiesta Classic 1.4 SXI Duratorq,NaN,1.8 Lakh*,Ahmedabad
164,2017,Diesel,"74,035 kms",First Owner,Automatic,Toyota Fortuner 2016-2021 2.8 4WD AT,Toyota Fortuner 2016-2021 2.8 4WD AT,NaN,27.49 Lakh*,Ahmedabad
