,myear,fuel,km,owner,transmission,brand,model,variant,price,city
1790,2015,Petrol,"25,610 Kms",1st Owner,Automatic,2015 Maruti Celerio,2015 Maruti Celerio,VXI AT,"4,39,500",Bangalore
1791,2017,Petrol,"12,413 Kms",2nd Owner,Automatic,2017 Renault KWID,2017 Renault KWID,1.0 RXT AMT,"4,14,500",Bangalore
1792,2011,Petrol,"63,300 Kms",2nd Owner,Manual,2011 Hyundai i10,2011 Hyundai i10,Sportz Option,"2,60,000",Bangalore
1793,2014,Petrol,"44,290 Kms",1st Owner,Manual,2014 Maruti Swift,2014 Maruti Swift,VXI,"5,16,072",Bangalore
1794,2013,Petrol,"84,561 Kms",1st Owner,Automatic,2014 Honda Brio,2014 Honda Brio,1.2 VX AT,"4,20,000",Bangalore
1795,2010,Petrol,"65,713 Kms",1st Owner,Manual,2010 Maruti Wagon R,2010 Maruti Wagon R,VXI,"2,30,000",Bangalore
1796,2014,Diesel,"33,130 Kms",1st Owner,Manual,2014 Nissan Terrano,2014 Nissan Terrano,XV Premium 110 PS,"6,72,000",Bangalore
1797,2018,Petrol,"17,247 Kms",1st Owner,Manual,2018 Maruti Celerio,2018 Maruti Celerio,ZXI,"4,80,000",Bangalore
1798,2017,Petrol,"44,437 Kms",1st Owner,Manual,2017 Maruti Ignis,2017 Maruti Ignis,1.2 Zeta BSIV,"5,36,500",Bangalore
1799,2017,Petrol,"13,136 Kms",1st Owner,Manual,2018 Hyundai Grand i10,2018 Hyundai Grand i10,1.2 Kappa Asta,"6,15,000",Bangalore
1800,2016,Petrol,"27,080 Kms",1st Owner,Automatic,2017 Renault KWID,2017 Renault KWID,1.0 RXT AMT,"4,00,000",Bangalore
1801,2014,Petrol,"65,385 Kms",2nd Owner,Automatic,2014 Maruti Alto K10,2014 Maruti Alto K10,VXI AMT,"3,15,500",Bangalore
1802,2014,Petrol,"78,169 Kms",1st Owner,Manual,2014 Maruti Swift,2014 Maruti Swift,VXI,"4,77,500",Bangalore
1803,2016,Petrol,"19,255 Kms",2nd Owner,Automatic,2016 Hyundai Grand i10,2016 Hyundai Grand i10,1.2 Kappa Magna AT,"5,04,500",Bangalore
1804,2017,Petrol,"10,003 Kms",1st Owner,Automatic,2017 Renault KWID,2017 Renault KWID,1.0 RXT AMT,"4,46,000",Bangalore
1805,2016,Petrol,"42,010 Kms",2nd Owner,Manual,2016 Honda Jazz,2016 Honda Jazz,V,"5,20,000",Bangalore
1806,2015,Petrol,"52,812 Kms",1st Owner,Manual,2016 Hyundai Grand i10,2016 Hyundai Grand i10,Sportz,"4,87,000",Bangalore
1807,2014,Petrol,"37,952 Kms",1st Owner,Manual,2014 Maruti Celerio,2014 Maruti Celerio,VXI,"3,55,000",Bangalore
1808,2009,Petrol,"90,999 Kms",1st Owner,Manual,2009 Maruti Swift,2009 Maruti Swift,1.3 VXi,"3,04,500",Bangalore
1809,2016,Petrol,"37,789 Kms",2nd Owner,KA50,2016 Honda Jazz,2016 Honda Jazz,V CVT,"6,40,000",Bangalore
1810,2015,Petrol,"25,610 Kms",1st Owner,Automatic,2015 Maruti Celerio,2015 Maruti Celerio,VXI AT,"4,39,500",Bangalore
1811,2017,Petrol,"12,413 Kms",2nd Owner,Automatic,2017 Renault KWID,2017 Renault KWID,1.0 RXT AMT,"4,14,500",Bangalore
1812,2011,Petrol,"63,300 Kms",2nd Owner,Manual,2011 Hyundai i10,2011 Hyundai i10,Sportz Option,"2,60,000",Bangalore
1813,2014,Petrol,"44,290 Kms",1st Owner,Manual,2014 Maruti Swift,2014 Maruti Swift,VXI,"5,16,072",Bangalore
1814,2013,Petrol,"84,561 Kms",1st Owner,Automatic,2014 Honda Brio,2014 Honda Brio,1.2 VX AT,"4,20,000",Bangalore
1815,2010,Petrol,"65,713 Kms",1st Owner,Manual,2010 Maruti Wagon R,2010 Maruti Wagon R,VXI,"2,30,000",Bangalore
1816,2014,Diesel,"33,130 Kms",1st Owner,Manual,2014 Nissan Terrano,2014 Nissan Terrano,XV Premium 110 PS,"6,72,000",Bangalore
1817,2018,Petrol,"17,247 Kms",1st Owner,Manual,2018 Maruti Celerio,2018 Maruti Celerio,ZXI,"4,80,000",Bangalore
1818,2017,Petrol,"44,437 Kms",1st Owner,Manual,2017 Maruti Ignis,2017 Maruti Ignis,1.2 Zeta BSIV,"5,36,500",Bangalore
1819,2017,Petrol,"13,136 Kms",1st Owner,Manual,2018 Hyundai Grand i10,2018 Hyundai Grand i10,1.2 Kappa Asta,"6,15,000",Bangalore
1820,2016,Petrol,"27,080 Kms",1st Owner,Automatic,2017 Renault KWID,2017 Renault KWID,1.0 RXT AMT,"4,00,000",Bangalore
1821,2014,Petrol,"65,385 Kms",2nd Owner,Automatic,2014 Maruti Alto K10,2014 Maruti Alto K10,VXI AMT,"3,15,500",Bangalore
